word,count,independent,bind,len,compound_entropy
开始,701,196,0.2432,2,5.2186
重生,334,120,0.3416,2,5.3918
我的,330,123,0.3077,2,1.5561
世界,263,34,0.2256,2,5.1029
开局,205,99,0.5,2,1.0702
我在,201,57,0.2,2,6.077
诸天,163,64,0.2338,2,4.6152
修仙,141,57,0.1912,2,3.7282
游戏,141,49,0.0769,2,5.1267
大明,134,72,0.2353,2,4.2231
这个,129,50,0.5714,2,5.5982
长生,124,47,0.2375,2,3.9087
系统,121,58,0.1186,2,4.8651
穿越,111,32,0.2353,2,4.5653
我真,98,3,0.5,2,1.0804
无限,97,29,0.15,2,4.6578
斗罗,96,50,0.5769,2,2.0618
重生之,96,53,0.3333,3,5.8282
人在,95,31,0.5,2,5.3456
人生,91,40,0.2581,2,3.903
时代,90,36,0.375,2,2.7339
的我,89,21,0.2125,2,4.5595
什么,84,20,0.3108,2,3.8003
成了,82,13,0.5063,2,3.3332
火影,81,41,0.325,2,2.5613
华娱,80,57,0.2895,2,3.1699
我是,80,37,0.4333,2,2.6602
不是,79,13,0.3288,2,3.1659
一个,78,20,0.2857,2,3.864
我有,78,18,0.6364,2,1.3722
超级,76,46,0.2632,2,3.3414
第一,75,21,0.1385,2,4.7466
三国,71,41,0.2308,2,3.4246
最强,65,27,0.3488,2,3.1364
木叶,64,35,0.4667,2,2.2864
开始的,63,27,0.1111,3,5.2906
东京,62,29,0.6061,2,2.2066
无敌,61,34,0.2162,2,4.1531
神话,60,30,0.1026,2,4.3435
怎么,59,8,0.2553,2,3.8601
我能,59,30,1.0,2,0.2285
明星,59,6,0.3571,2,2.7909
模拟,59,12,0.5714,2,2.6973
海贼,59,26,0.3684,2,2.9934
生活,59,13,0.3333,2,2.8567
科技,57,15,0.5,2,2.987
玩家,54,31,0.1304,2,4.0958
只想,53,10,0.5652,2,2.7315
天下,52,29,0.4375,2,2.2718
年代,52,21,0.2,2,2.3645
我只,52,1,0.8947,2,1.2629
我成,52,10,0.7692,2,1.047
美漫,52,22,0.381,2,2.5109
娱乐,51,17,0.4419,2,3.1093
巫师,49,34,0.2609,2,3.1596
我有一,49,10,0.3673,3,3.2429
直播,49,21,0.2683,2,3.4236
大佬,48,26,0.1087,2,3.6645
让你,48,23,0.625,2,1.6087
万界,47,30,0.2593,2,3.9627
全球,47,28,0.2308,2,3.4566
大唐,47,34,0.2727,2,3.1887
西游,47,23,0.4074,2,2.7529
霍格沃茨,47,13,0.4516,4,2.652
末世,45,29,0.3125,2,3.1248
洪荒,45,31,0.2917,2,3.1347
帝国,44,28,0.1389,2,3.9321
成为,43,13,0.2121,2,3.7738
界的,43,2,0.8605,2,0.8507
联盟,43,12,0.84,2,1.4951
异界,42,15,0.56,2,2.3517
学霸,40,15,0.4,2,3.0615
异世,40,5,0.6667,2,1.7352
我成了,40,28,0.5,3,0.8743
武道,40,12,0.129,2,3.889
游之,40,1,0.7,2,1.0054
之我,39,1,0.3333,2,3.1608
召唤,39,14,0.1622,2,4.2264
大师,39,21,0.7,2,1.7807
我不,39,7,0.4872,2,2.2051
巨星,38,18,0.4615,2,2.5074
漫威,38,12,0.5294,2,2.2916
