word,count,independent,bind,len,compound_entropy,cohesion,indep
开始,701,196,0.2432,2,5.2186,5.9342,0.2796
重生,334,120,0.3416,2,5.3918,5.9111,0.3593
我的,330,123,0.3077,2,1.5561,3.2103,0.3727
世界,263,34,0.2256,2,5.1029,6.3079,0.1293
开局,205,99,0.5,2,1.0702,5.8704,0.4829
我在,201,57,0.2,2,6.077,3.7866,0.2836
诸天,163,64,0.2338,2,4.6152,6.3812,0.3926
修仙,141,57,0.1912,2,3.7282,6.1603,0.4043
游戏,141,49,0.0769,2,5.1267,7.7854,0.3475
大明,134,72,0.2353,2,4.2231,4.9687,0.5373
这个,129,50,0.5714,2,5.5982,6.7758,0.3876
长生,124,47,0.2375,2,3.9087,5.498,0.379
系统,121,58,0.1186,2,4.8651,8.324,0.4793
穿越,111,32,0.2353,2,4.5653,8.4986,0.2883
无限,97,29,0.15,2,4.6578,7.5862,0.299
斗罗,96,50,0.5769,2,2.0618,8.3326,0.5208
重生之,96,53,0.3333,3,5.8282,4.5053,0.5521
人在,95,31,0.5,2,5.3456,4.1445,0.3263
人生,91,40,0.2581,2,3.903,3.3959,0.4396
时代,90,36,0.375,2,2.7339,7.2067,0.4
什么,84,20,0.3108,2,3.8003,8.6627,0.2381
成了,82,13,0.5063,2,3.3332,4.6061,0.1585
火影,81,41,0.325,2,2.5613,7.3384,0.5062
华娱,80,57,0.2895,2,3.1699,7.8832,0.7125
我是,80,37,0.4333,2,2.6602,2.4753,0.4625
不是,79,13,0.3288,2,3.1659,4.6228,0.1646
一个,78,20,0.2857,2,3.864,5.2532,0.2564
我有,78,18,0.6364,2,1.3722,3.2202,0.2308
超级,76,46,0.2632,2,3.3414,7.0274,0.6053
第一,75,21,0.1385,2,4.7466,6.8373,0.28
三国,71,41,0.2308,2,3.4246,6.7776,0.5775
最强,65,27,0.3488,2,3.1364,8.0414,0.4154
木叶,64,35,0.4667,2,2.2864,9.5824,0.5469
开始的,63,27,0.1111,3,5.2906,2.2376,0.4286
东京,62,29,0.6061,2,2.2066,9.3137,0.4677
无敌,61,34,0.2162,2,4.1531,7.5976,0.5574
神话,60,30,0.1026,2,4.3435,6.3031,0.5
怎么,59,8,0.2553,2,3.8601,8.6627,0.1356
明星,59,6,0.3571,2,2.7909,5.4291,0.1017
模拟,59,12,0.5714,2,2.6973,9.5588,0.2034
海贼,59,26,0.3684,2,2.9934,8.6358,0.4407
生活,59,13,0.3333,2,2.8567,5.6777,0.2203
科技,57,15,0.5,2,2.987,8.3888,0.2632
玩家,54,31,0.1304,2,4.0958,7.1228,0.5741
只想,53,10,0.5652,2,2.7315,7.3004,0.1887
天下,52,29,0.4375,2,2.2718,5.0383,0.5577
年代,52,21,0.2,2,2.3645,6.2109,0.4038
我成,52,10,0.7692,2,1.047,2.2189,0.1923
美漫,52,22,0.381,2,2.5109,7.3491,0.4231
娱乐,51,17,0.4419,2,3.1093,7.6903,0.3333
巫师,49,34,0.2609,2,3.1596,7.0612,0.6939
我有一,49,10,0.3673,3,3.2429,5.0115,0.2041
直播,49,21,0.2683,2,3.4236,9.4969,0.4286
大佬,48,26,0.1087,2,3.6645,6.152,0.5417
让你,48,23,0.625,2,1.6087,6.9285,0.4792
万界,47,30,0.2593,2,3.9627,5.2235,0.6383
全球,47,28,0.2308,2,3.4566,6.8675,0.5957
大唐,47,34,0.2727,2,3.1887,4.9916,0.7234
西游,47,23,0.4074,2,2.7529,7.2287,0.4894
霍格沃茨,47,13,0.4516,4,2.652,10.1059,0.2766
末世,45,29,0.3125,2,3.1248,5.9095,0.6444
洪荒,45,31,0.2917,2,3.1347,9.0723,0.6889
帝国,44,28,0.1389,2,3.9321,5.6366,0.6364
成为,43,13,0.2121,2,3.7738,5.7163,0.3023
联盟,43,12,0.84,2,1.4951,9.9776,0.2791
异界,42,15,0.56,2,2.3517,5.3436,0.3571
学霸,40,15,0.4,2,3.0615,7.5491,0.375
异世,40,5,0.6667,2,1.7352,5.1595,0.125
我成了,40,28,0.5,3,0.8743,4.0336,0.7
武道,40,12,0.129,2,3.889,4.9484,0.3
召唤,39,14,0.1622,2,4.2264,10.4744,0.359
大师,39,21,0.7,2,1.7807,3.1541,0.5385
我不,39,7,0.4872,2,2.2051,1.6507,0.1795
巨星,38,18,0.4615,2,2.5074,7.037,0.4737
漫威,38,12,0.5294,2,2.2916,9.1369,0.3158
老婆,38,16,0.4545,2,3.2079,8.7928,0.4211
进化,38,21,0.2059,2,3.1899,8.3936,0.5526
一人,37,8,0.7188,2,1.9098,2.9267,0.2162
世界的,37,15,0.1622,3,4.3038,2.8841,0.4054
传奇,37,19,0.1538,2,3.6645,8.5593,0.5135
红楼,37,29,0.2857,2,4.6378,9.1674,0.7838
崛起,36,20,0.5,2,4.4429,9.635,0.5556
网游,36,8,0.8235,2,1.5715,6.5841,0.2222
职业,36,12,0.1562,2,3.9771,8.1602,0.3333
影帝,35,18,0.2353,2,3.5352,5.6675,0.5143
恋爱,35,11,0.3462,2,3.5559,9.4019,0.3143
真的,35,4,0.6857,2,1.7567,2.9664,0.1143
领主,35,24,0.25,2,2.3301,7.4831,0.6857
不想,34,6,0.3824,2,3.2411,5.0005,0.1765
想当,34,4,0.3824,2,2.492,5.8278,0.1176
聊天群,34,19,0.3333,3,2.1258,9.9588,0.5588
英雄,34,9,0.5556,2,2.4287,9.4432,0.2647
魔法,34,11,0.3077,2,3.6645,5.7651,0.3235
反派,33,10,0.1923,2,3.8731,9.5871,0.303
四合院,33,18,0.3158,3,2.4125,10.1059,0.5455
诡异,33,19,0.2143,2,3.2359,7.3308,0.5758
里的,33,7,0.2121,2,3.6122,4.6705,0.2121
日常,32,13,0.5,2,2.064,7.6725,0.4062
没有,32,10,0.16,2,4.1761,6.2498,0.3125
港综,32,16,0.5,2,1.6855,9.1948,0.5
就是,31,6,0.4483,2,2.8863,5.209,0.1935
都市,31,18,0.5,2,2.161,8.3813,0.5806
回到,30,14,0.5,2,4.1944,6.2579,0.4667
影视,30,10,0.5926,2,2.9934,7.8392,0.3333
战锤,30,21,0.3636,2,2.1181,8.5696,0.7
神豪,30,12,0.5455,2,2.3599,5.2272,0.4
之主,29,21,1.0,2,4.6875,3.162,0.7241
我家,29,14,0.5,2,4.2622,1.7826,0.4828
星空,29,8,0.8333,2,1.1863,6.289,0.2759
生从,29,2,0.6552,2,1.2473,1.5059,0.069
神级,29,18,0.5455,2,2.1997,4.0458,0.6207
精灵,29,15,0.2857,2,2.9477,8.2875,0.5172
美利坚,29,24,0.2727,3,2.9161,8.3766,0.8276
遮天,29,16,0.4545,2,1.6582,6.4182,0.5517
吞噬,28,3,0.7692,2,1.3788,10.9846,0.1071
导演,28,14,0.1538,2,3.2211,9.2878,0.5
模拟器,28,19,0.25,3,4.0341,9.34,0.6786
皇帝,28,16,0.1818,2,3.4183,6.2465,0.5714
网游之,28,21,0.1071,3,4.4947,5.9414,0.75
降临,28,16,0.1818,2,2.9398,9.9038,0.5714
顶流,28,15,0.1579,2,3.9754,9.1598,0.5357
之王,27,23,1.0,2,4.72,3.2775,0.8519
人之,27,4,0.8519,2,0.9015,1.6284,0.1481
宇智波,27,12,0.2941,3,2.9495,10.1839,0.4444
成神,27,21,0.1538,2,3.7736,2.8098,0.7778
文娱,27,15,0.6364,2,1.4911,6.457,0.5556
文豪,27,13,0.3333,2,1.9502,7.5379,0.4815
未来,27,19,0.1579,2,3.7736,8.1662,0.7037
武侠,27,8,0.4762,2,2.6379,6.6941,0.2963
签到,27,10,0.3636,2,3.1524,7.9388,0.3704
都是,27,15,0.1852,2,4.1488,4.588,0.5556
面板,27,13,0.25,2,2.9219,9.0616,0.4815
龙族,27,21,0.625,2,1.3356,6.8584,0.7778
传说,26,19,0.5,2,4.4306,7.3961,0.7308
全能,26,13,0.25,2,2.8554,5.1826,0.5
加点,26,9,0.3333,2,2.78,8.077,0.3462
地球,26,11,0.25,2,3.0778,6.6751,0.4231
宇宙,26,16,0.2,2,3.7871,10.0264,0.6154
我只想,26,11,0.8571,3,1.2958,4.0417,0.4231
我被,26,14,0.8,2,1.4832,2.8748,0.5385
打造,26,10,0.3684,2,3.1157,7.7078,0.3846
末日,26,18,0.1429,2,3.3788,6.6262,0.6923
法师,26,14,0.2273,2,3.0851,4.8467,0.5385
科学,26,12,0.2632,2,3.5037,6.5857,0.4615
轮回,26,12,0.3333,2,3.0516,8.8522,0.4615
不死,25,7,0.5556,2,2.561,5.1509,0.28
修行,25,9,0.2174,2,3.0958,5.777,0.36
全职,25,9,0.3333,2,3.7534,6.5808,0.36
女友,25,10,0.5556,2,2.3943,7.1135,0.4
归来,25,7,0.8824,2,0.9142,7.8328,0.28
我以,25,12,0.16,2,3.8937,3.8062,0.48
真是,25,3,0.64,2,2.0039,3.7903,0.12
说好,25,15,1.0,2,3.9501,7.2835,0.6
仙界,24,7,0.7222,2,1.0529,2.8388,0.2917
医生,24,14,0.25,2,2.7516,4.0456,0.5833
天赋,24,18,0.2667,2,3.4992,6.3517,0.75
异世界,24,11,0.3158,3,2.9502,5.2754,0.4583
我真的,24,4,1.0,3,2.6341,3.6839,0.1667
日子,24,5,1.0,2,1.4154,5.1743,0.2083
一人之,23,2,1.0,3,0.8743,5.6181,0.087
世之,23,4,0.2609,2,2.5832,1.9358,0.1739
之下,23,2,0.913,2,0.5132,3.6983,0.087
升级,23,6,0.3182,2,2.8074,7.521,0.2609
完美,23,7,0.2174,2,3.2359,7.8127,0.3043
属性,23,8,0.2727,2,3.085,9.9116,0.3478
成仙,23,14,0.5,2,2.161,3.0047,0.6087
技能,23,6,0.1818,2,3.6169,5.9835,0.2609
来的,23,5,0.6522,2,1.8886,2.8796,0.2174
死神,23,13,0.3,2,2.5724,4.4013,0.5652
绝世,23,5,0.4444,2,2.1468,5.5045,0.2174
苟在,23,15,1.0,2,4.3158,6.2433,0.6522
高武,23,17,0.3636,2,1.8541,5.9482,0.7391
女帝,22,17,0.1875,2,3.0851,4.7415,0.7727
