word,count,independent,bind,len,compound_entropy,spe,rsr
开始,701,196,0.2432,2,5.2186,1.0842,27.9231
重生,334,120,0.3416,2,5.3918,0.7705,67.8609
我的,330,123,0.3077,2,1.5561,0.4495,13.1068
世界,263,34,0.2256,2,5.1029,1.3087,46.9345
开局,205,99,0.5,2,1.0702,0.6085,25.554
我在,201,57,0.2,2,6.077,0.0,10.85
诸天,163,64,0.2338,2,4.6152,1.2664,59.4968
修仙,141,57,0.1912,2,3.7282,1.4533,58.8207
游戏,141,49,0.0769,2,5.1267,1.3345,26.2842
大明,134,72,0.2353,2,4.2231,1.2567,41.4302
这个,129,50,0.5714,2,5.5982,0.2423,10.99
长生,124,47,0.2375,2,3.9087,1.1641,51.3214
系统,121,58,0.1186,2,4.8651,1.1564,40.8689
穿越,111,32,0.2353,2,4.5653,1.4055,57.2432
我真,98,3,0.5,2,1.0804,0.1922,45.9154
无限,97,29,0.15,2,4.6578,1.245,55.6471
斗罗,96,50,0.5769,2,2.0618,1.3059,48.3158
重生之,96,53,0.3333,3,5.8282,0.0,60.7736
人在,95,31,0.5,2,5.3456,0.1687,10.0
人生,91,40,0.2581,2,3.903,1.1857,46.974
时代,90,36,0.375,2,2.7339,0.841,45.0
的我,89,21,0.2125,2,4.5595,1.2369,9.5368
什么,84,20,0.3108,2,3.8003,1.5244,17.8738
成了,82,13,0.5063,2,3.3332,1.3235,126.6
火影,81,41,0.325,2,2.5613,1.5244,70.9338
华娱,80,57,0.2895,2,3.1699,0.0,127.6522
我是,80,37,0.4333,2,2.6602,1.1663,49.2419
不是,79,13,0.3288,2,3.1659,0.8506,55.9052
一个,78,20,0.2857,2,3.864,1.202,44.2088
我有,78,18,0.6364,2,1.3722,0.1311,20.8727
超级,76,46,0.2632,2,3.3414,1.3132,39.2703
第一,75,21,0.1385,2,4.7466,1.0487,15.6154
三国,71,41,0.2308,2,3.4246,1.1674,76.5263
最强,65,27,0.3488,2,3.1364,0.9884,58.2679
木叶,64,35,0.4667,2,2.2864,1.3049,105.725
开始的,63,27,0.1111,3,5.2906,1.1585,6.44
东京,62,29,0.6061,2,2.2066,1.4059,42.6154
无敌,61,34,0.2162,2,4.1531,1.5069,62.4839
神话,60,30,0.1026,2,4.3435,0.9947,22.4857
怎么,59,8,0.2553,2,3.8601,1.4586,67.619
明星,59,6,0.3571,2,2.7909,0.7357,35.8617
模拟,59,12,0.5714,2,2.6973,1.4908,17.8882
海贼,59,26,0.3684,2,2.9934,1.2557,86.2105
生活,59,13,0.3333,2,2.8567,0.9997,25.1034
科技,57,15,0.5,2,2.987,1.2928,25.9605
玩家,54,31,0.1304,2,4.0958,0.7219,70.2
只想,53,10,0.5652,2,2.7315,1.3878,112.35
天下,52,29,0.4375,2,2.2718,0.9774,4.8824
年代,52,21,0.2,2,2.3645,0.962,45.119
我只,52,1,0.8947,2,1.2629,1.368,70.4823
我成,52,10,0.7692,2,1.047,0.2285,57.0185
美漫,52,22,0.381,2,2.5109,1.4449,71.3333
娱乐,51,17,0.4419,2,3.1093,0.8256,30.9434
巫师,49,34,0.2609,2,3.1596,1.1897,68.0
我有一,49,10,0.3673,3,3.2429,0.0,12.2826
直播,49,21,0.2683,2,3.4236,0.65,55.9444
大佬,48,26,0.1087,2,3.6645,0.0,35.9615
让你,48,23,0.625,2,1.6087,0.7973,17.8966
万界,47,30,0.2593,2,3.9627,0.9641,57.5556
全球,47,28,0.2308,2,3.4566,0.5586,21.8261
大唐,47,34,0.2727,2,3.1887,0.9183,38.4667
西游,47,23,0.4074,2,2.7529,1.2443,81.027
霍格沃茨,47,13,0.4516,4,2.652,1.1748,145.3953
末世,45,29,0.3125,2,3.1248,0.9911,110.8333
洪荒,45,31,0.2917,2,3.1347,0.9403,101.7857
帝国,44,28,0.1389,2,3.9321,0.7871,50.0588
成为,43,13,0.2121,2,3.7738,0.9819,60.5
界的,43,2,0.8605,2,0.8507,0.5797,27.6176
联盟,43,12,0.84,2,1.4951,1.4919,66.3727
异界,42,15,0.56,2,2.3517,1.097,79.1944
学霸,40,15,0.4,2,3.0615,1.0,87.9706
异世,40,5,0.6667,2,1.7352,1.1785,41.2255
我成了,40,28,0.5,3,0.8743,0.65,60.0
武道,40,12,0.129,2,3.889,0.8981,65.4
游之,40,1,0.7,2,1.0054,1.2835,13.1583
之我,39,1,0.3333,2,3.1608,1.4378,63.3786
召唤,39,14,0.1622,2,4.2264,1.4399,75.9655
大师,39,21,0.7,2,1.7807,0.9495,28.0
我不,39,7,0.4872,2,2.2051,0.735,80.8537
巨星,38,18,0.4615,2,2.5074,0.8813,60.05
漫威,38,12,0.5294,2,2.2916,1.3323,63.2791
老婆,38,16,0.4545,2,3.2079,1.5804,126.2963
进化,38,21,0.2059,2,3.1899,0.8997,57.8421
一人,37,8,0.7188,2,1.9098,0.9255,72.3103
世界的,37,15,0.1622,3,4.3038,0.65,25.5
传奇,37,19,0.1538,2,3.6645,0.4262,47.6087
红楼,37,29,0.2857,2,4.6378,1.5,112.75
崛起,36,20,0.5,2,4.4429,0.0,63.4375
网游,36,8,0.8235,2,1.5715,0.0,104.8108
职业,36,12,0.1562,2,3.9771,1.4819,22.5758
影帝,35,18,0.2353,2,3.5352,1.1897,93.4211
恋爱,35,11,0.3462,2,3.5559,1.5334,14.3333
真不,35,1,0.8571,2,0.9234,1.5767,152.3252
真的,35,4,0.6857,2,1.7567,1.4908,150.1689
领主,35,24,0.25,2,2.3301,0.9457,20.0
不想,34,6,0.3824,2,3.2411,1.3614,63.9909
想当,34,4,0.3824,2,2.492,0.768,12.9273
聊天群,34,19,0.3333,3,2.1258,0.4537,23.4286
英雄,34,9,0.5556,2,2.4287,0.8813,5.275
魔法,34,11,0.3077,2,3.6645,1.4682,80.9062
反派,33,10,0.1923,2,3.8731,0.971,85.56
四合院,33,18,0.3158,3,2.4125,0.4138,48.7917
诡异,33,19,0.2143,2,3.2359,1.0,63.625
里的,33,7,0.2121,2,3.6122,0.5618,20.3158
日常,32,13,0.5,2,2.064,1.3709,102.087
没有,32,10,0.16,2,4.1761,1.3383,35.6333
港综,32,16,0.5,2,1.6855,1.325,82.625
就是,31,6,0.4483,2,2.8863,1.0736,114.8276
都市,31,18,0.5,2,2.161,0.9612,66.6923
回到,30,14,0.5,2,4.1944,0.4855,2.4211
影视,30,10,0.5926,2,2.9934,0.3912,37.2692
我真不,30,1,1.0,3,0.7219,0.2918,65.9231
战锤,30,21,0.3636,2,2.1181,0.6194,129.1538
神豪,30,12,0.5455,2,2.3599,0.9183,51.3333
之主,29,21,1.0,2,4.6875,0.0,18.75
我家,29,14,0.5,2,4.2622,0.0,34.2
星空,29,8,0.8333,2,1.1863,1.546,56.0444
生从,29,2,0.6552,2,1.2473,0.6838,11.2258
神级,29,18,0.5455,2,2.1997,0.7871,88.2941
精灵,29,15,0.2857,2,2.9477,0.5917,97.7143
美利坚,29,24,0.2727,3,2.9161,0.8631,38.1429
遮天,29,16,0.4545,2,1.6582,1.5462,89.6875
吞噬,28,3,0.7692,2,1.3788,0.8704,19.3902
导演,28,14,0.1538,2,3.2211,0.8631,28.5
模拟器,28,19,0.25,3,4.0341,0.0,17.3158
皇帝,28,16,0.1818,2,3.4183,0.5917,26.2857
网游之,28,21,0.1071,3,4.4947,0.0,15.4444
降临,28,16,0.1818,2,2.9398,0.8631,13.5714
顶流,28,15,0.1579,2,3.9754,0.874,54.5882
之王,27,23,1.0,2,4.72,0.0,2.5
人之,27,4,0.8519,2,0.9015,0.9987,27.2083
宇智波,27,12,0.2941,3,2.9495,0.8366,163.4
成神,27,21,0.1538,2,3.7736,0.9183,102.0
文娱,27,15,0.6364,2,1.4911,0.7871,125.4118
文豪,27,13,0.3333,2,1.9502,0.5917,50.8571
未来,27,19,0.1579,2,3.7736,0.7642,98.0
武侠,27,8,0.4762,2,2.6379,0.4537,44.7619
签到,27,10,0.3636,2,3.1524,1.433,39.6842
都是,27,15,0.1852,2,4.1488,1.378,75.1579
面板,27,13,0.25,2,2.9219,0.5226,17.1176
龙族,27,21,0.625,2,1.3356,1.5774,114.0
传说,26,19,0.5,2,4.4306,0.0,3.4286
全能,26,13,0.25,2,2.8554,1.3996,35.8
加点,26,9,0.3333,2,2.78,1.2737,30.0769
地球,26,11,0.25,2,3.0778,0.9183,54.1905
宇宙,26,16,0.2,2,3.7871,0.8905,39.3077
我只想,26,11,0.8571,3,1.2958,0.9321,70.2174
我被,26,14,0.8,2,1.4832,1.4987,98.36
打造,26,10,0.3684,2,3.1157,1.4607,125.1905
末日,26,18,0.1429,2,3.3788,0.971,56.0
法师,26,14,0.2273,2,3.0851,0.0,5.3889
科学,26,12,0.2632,2,3.5037,1.5751,86.9524
轮回,26,12,0.3333,2,3.0516,0.9887,19.0625
不死,25,7,0.5556,2,2.561,1.2076,19.3429
修行,25,9,0.2174,2,3.0958,0.7425,49.2105
全职,25,9,0.3333,2,3.7534,0.0,3.6667
