case,n,add,rem,live_000,live_frag,keep,filt,add_000,add_frag,rem_000,rem_frag,net,add_000_w,add_frag_w,rem_000_w,layer
D1_a2.75_r0.80,5365,216,0,13,7,36,7,13,3,0,0,10,刺客+围棋+工程+庆余年+康熙+梦幻+港片+漫画+舰娘+谍战+迪迦+铁血+首富,我真不+真不+诸天之,,D1
D1_a2.75_r0.85,5365,216,0,13,7,36,7,13,3,0,0,10,刺客+围棋+工程+庆余年+康熙+梦幻+港片+漫画+舰娘+谍战+迪迦+铁血+首富,我真不+真不+诸天之,,D1
D1_a2.75_r0.70,5366,217,0,13,7,36,7,13,3,0,0,10,刺客+围棋+工程+庆余年+康熙+梦幻+港片+漫画+舰娘+谍战+迪迦+铁血+首富,我真不+真不+诸天之,,D1
D1_a2.75_r0.75,5366,217,0,13,7,36,7,13,3,0,0,10,刺客+围棋+工程+庆余年+康熙+梦幻+港片+漫画+舰娘+谍战+迪迦+铁血+首富,我真不+真不+诸天之,,D1
D1_a2.75_r0.65,5367,218,0,13,7,36,7,13,3,0,0,10,刺客+围棋+工程+庆余年+康熙+梦幻+港片+漫画+舰娘+谍战+迪迦+铁血+首富,我真不+真不+诸天之,,D1
D1_a2.75_r0.60,5371,222,0,13,7,36,7,13,3,0,0,10,刺客+围棋+工程+庆余年+康熙+梦幻+港片+漫画+舰娘+谍战+迪迦+铁血+首富,我真不+真不+诸天之,,D1
L2_a2.50_r0.70,5382,233,0,13,7,36,7,13,3,0,0,10,刺客+围棋+工程+庆余年+康熙+梦幻+港片+漫画+舰娘+谍战+迪迦+铁血+首富,我真不+真不+诸天之,,L2
L2_a2.50_r0.80,5382,233,0,13,7,36,7,13,3,0,0,10,刺客+围棋+工程+庆余年+康熙+梦幻+港片+漫画+舰娘+谍战+迪迦+铁血+首富,我真不+真不+诸天之,,L2
D1_a2.50_r0.70,5382,233,0,13,7,36,7,13,3,0,0,10,刺客+围棋+工程+庆余年+康熙+梦幻+港片+漫画+舰娘+谍战+迪迦+铁血+首富,我真不+真不+诸天之,,D1
D1_a2.50_r0.75,5382,233,0,13,7,36,7,13,3,0,0,10,刺客+围棋+工程+庆余年+康熙+梦幻+港片+漫画+舰娘+谍战+迪迦+铁血+首富,我真不+真不+诸天之,,D1
D1_a2.50_r0.80,5382,233,0,13,7,36,7,13,3,0,0,10,刺客+围棋+工程+庆余年+康熙+梦幻+港片+漫画+舰娘+谍战+迪迦+铁血+首富,我真不+真不+诸天之,,D1
D1_a2.50_r0.85,5382,233,0,13,7,36,7,13,3,0,0,10,刺客+围棋+工程+庆余年+康熙+梦幻+港片+漫画+舰娘+谍战+迪迦+铁血+首富,我真不+真不+诸天之,,D1
D1_a2.50_r0.65,5383,234,0,13,7,36,7,13,3,0,0,10,刺客+围棋+工程+庆余年+康熙+梦幻+港片+漫画+舰娘+谍战+迪迦+铁血+首富,我真不+真不+诸天之,,D1
L2_a2.50_r0.60,5386,237,0,13,7,36,7,13,3,0,0,10,刺客+围棋+工程+庆余年+康熙+梦幻+港片+漫画+舰娘+谍战+迪迦+铁血+首富,我真不+真不+诸天之,,L2
D1_a2.50_r0.60,5386,237,0,13,7,36,7,13,3,0,0,10,刺客+围棋+工程+庆余年+康熙+梦幻+港片+漫画+舰娘+谍战+迪迦+铁血+首富,我真不+真不+诸天之,,D1
D1_a2.25_r0.95,5398,249,0,13,7,36,7,13,3,0,0,10,刺客+围棋+工程+庆余年+康熙+梦幻+港片+漫画+舰娘+谍战+迪迦+铁血+首富,我真不+真不+诸天之,,D1
L2_a2.25_r0.70,5403,254,0,13,7,36,7,13,3,0,0,10,刺客+围棋+工程+庆余年+康熙+梦幻+港片+漫画+舰娘+谍战+迪迦+铁血+首富,我真不+真不+诸天之,,L2
L2_a2.25_r0.80,5403,254,0,13,7,36,7,13,3,0,0,10,刺客+围棋+工程+庆余年+康熙+梦幻+港片+漫画+舰娘+谍战+迪迦+铁血+首富,我真不+真不+诸天之,,L2
D1_a2.25_r0.70,5403,254,0,13,7,36,7,13,3,0,0,10,刺客+围棋+工程+庆余年+康熙+梦幻+港片+漫画+舰娘+谍战+迪迦+铁血+首富,我真不+真不+诸天之,,D1
D1_a2.25_r0.75,5403,254,0,13,7,36,7,13,3,0,0,10,刺客+围棋+工程+庆余年+康熙+梦幻+港片+漫画+舰娘+谍战+迪迦+铁血+首富,我真不+真不+诸天之,,D1
