min_ent,mr,coh,indep,spe,rsr,bind,rsr_mode,msc,no_punct,no_merge,len,n_kept,keep,filt,r000,frag,coll,A,B,C
2.0,0.15,0.0,0.4,0.75,15.0,0.2,mean,1,True,False,4,286,6,1,0,0,1423,0.3085,0.1962,0.084
0.25,0.3,3.5,0.8,1.9,0.0,0.85,mean,8,False,True,8,2283,7,1,0,0,1355,0.3219,0.207,0.0921
0.0,0.25,6.5,0.5,0.85,10.0,0.3,max,1,False,True,4,259,7,0,0,1,1425,0.3262,0.2045,0.0856
1.1,0.55,9.5,0.4,0.1,35.0,0.85,mean,8,False,True,8,254,3,0,0,0,1508,0.289,0.1809,0.0728
1.8,0.3,1.0,0.05,0.7,20.0,0.1,mean,1,True,True,12,103,3,0,0,0,1602,0.2835,0.1754,0.0673
2.0,0.55,2.5,0.55,1.1,15.0,0.4,mean,2,False,False,12,582,15,1,0,3,1227,0.3885,0.2437,0.1071
1.2,0.4,10.0,0.85,0.7,50.0,0.5,mean,2,False,True,12,273,9,0,0,1,1445,0.344,0.2169,0.0925
0.85,0.1,3.0,0.9,1.0,15.0,1.0,max,8,True,False,8,2611,9,1,0,1,1359,0.3351,0.212,0.0916
0.4,0.35,8.5,0.85,0.8,45.0,0.65,max,4,False,False,12,403,1,0,0,1,1547,0.2623,0.1568,0.0541
0.25,0.05,1.5,0.2,2.0,10.0,0.65,mean,8,True,True,8,3740,24,1,0,3,614,0.51,0.3408,0.1799
1.75,0.0,1.5,0.85,0.85,50.0,0.5,mean,4,True,False,12,1560,5,1,0,0,1452,0.2973,0.1878,0.0783
0.0,0.4,8.0,0.25,1.6,5.0,1.0,max,2,False,True,6,1221,10,0,10,0,1293,0.4347,0.4076,0.4139
1.7,0.8,0.0,0.95,1.0,35.0,0.0,mean,4,True,False,4,96,3,0,0,0,1609,0.2831,0.175,0.0668
0.75,0.9,1.0,0.1,1.55,5.0,0.85,mean,2,True,False,8,4576,26,3,0,5,375,0.504,0.3318,0.1735
1.65,0.65,3.0,0.85,0.6,20.0,0.6,max,8,True,False,6,1466,5,1,0,0,1397,0.3005,0.191,0.0815
0.7,0.1,5.0,0.0,1.85,40.0,0.35,mean,1,False,False,6,626,11,1,0,1,1272,0.3591,0.2306,0.1049
0.2,0.05,5.0,0.1,1.6,15.0,0.4,max,2,False,True,6,711,12,1,0,1,1188,0.3736,0.2424,0.1139
1.5,0.65,3.0,0.15,0.3,50.0,0.65,max,8,True,True,4,2024,21,1,0,4,905,0.4588,0.2949,0.1422
0.3,0.05,6.0,0.5,0.3,15.0,0.3,mean,8,False,True,6,240,3,0,0,0,1462,0.2918,0.1837,0.0756
0.85,0.7,3.5,0.1,1.4,40.0,0.15,mean,1,False,False,6,122,4,1,0,0,1570,0.2808,0.174,0.0672
1.3,0.75,7.5,0.3,1.25,0.0,0.25,max,1,True,True,12,146,6,0,0,0,1525,0.3164,0.2002,0.084
