case,n_kept,keep,filt,r000,frag,coll,score_A,score_B,score_C,kept_targets
ent0.4xasym2,5999,36,18,13,17,12,0.4301,0.3875,0.4356,首富+庆余年+康熙+明月+铁血+完美世界+神诡世界+重生+世界+历史+天道+在三国+家的+聊天+我的+我终+真没+无限之
ent0.4xasym2,5988,36,17,13,16,13,0.4495,0.4058,0.4498,首富+庆余年+康熙+明月+铁血+完美世界+神诡世界+重生+世界+历史+天道+在三国+家的+聊天+我的+我终+真没+无限之
ent0.4xasym2,5982,36,17,12,16,13,0.4429,0.3891,0.4198,首富+庆余年+明月+铁血+完美世界+神诡世界+重生+世界+历史+天道+在三国+家的+聊天+我的+我终+真没+无限之
ent0.5xasym2,5987,36,13,13,16,18,0.5053,0.4455,0.4735,首富+庆余年+康熙+明月+铁血+完美世界+神诡世界+重生+世界+历史+天道+在三国+家的+我的+我终+真没+无限之
ent0.5xasym2,5974,36,10,13,15,19,0.5527,0.4838,0.4998,首富+庆余年+康熙+明月+铁血+完美世界+神诡世界+重生+世界+历史+天道+在三国+家的+我的+我终+真没+无限之
ent0.5xasym2,5964,36,10,12,15,23,0.5458,0.4669,0.4696,首富+庆余年+明月+铁血+完美世界+神诡世界+重生+世界+历史+天道+在三国+家的+我的+我终+真没+无限之
ent0.6xasym2,5973,36,13,13,16,32,0.5044,0.4447,0.4727,首富+庆余年+康熙+明月+铁血+完美世界+神诡世界+重生+世界+历史+天道+在三国+家的+我的+我终+真没+无限之
ent0.6xasym2,5956,36,10,13,15,37,0.5517,0.4827,0.4988,首富+庆余年+康熙+明月+铁血+完美世界+神诡世界+重生+世界+历史+天道+在三国+家的+我的+我终+真没+无限之
ent0.6xasym2,5943,36,10,12,15,44,0.5446,0.4656,0.4683,首富+庆余年+明月+铁血+完美世界+神诡世界+重生+世界+历史+天道+在三国+家的+我的+我终+真没+无限之
role0.3xcoh1,4921,35,3,0,12,335,0.5526,0.3366,0.154,重生+世界+历史+在三国+家的+我的
role0.3xcoh2,4729,35,2,0,11,367,0.5702,0.3531,0.1665,重生+世界+历史+在三国+我的
role0.5xcoh1,4557,32,2,0,6,605,0.5555,0.3604,0.1819,重生+世界+历史+在三国+家的
role0.5xcoh2,4381,32,2,0,6,627,0.5542,0.3591,0.1806,重生+世界+历史+在三国
role0.7xcoh1,4062,21,1,0,3,958,0.4612,0.3001,0.1474,历史+在三国+家的
role0.7xcoh2,3900,21,1,0,3,974,0.4603,0.2992,0.1464,历史+在三国
ent0.4xrole0.3,5373,35,8,0,14,267,0.4755,0.274,0.1114,重生+世界+历史+在三国+家的+我的
ent0.4xrole0.5,4959,32,5,0,7,559,0.5107,0.3248,0.1583,重生+世界+历史+在三国+家的
ent0.4xrole0.7,4421,21,2,0,3,931,0.4488,0.2917,0.143,历史+在三国+家的
ent0.5xrole0.3,5363,35,3,0,14,272,0.5452,0.3237,0.1411,重生+世界+历史+在三国+家的+我的
ent0.5xrole0.5,4955,32,2,0,7,560,0.5526,0.3547,0.1762,重生+世界+历史+在三国+家的
ent0.5xrole0.7,4419,21,1,0,3,932,0.4628,0.3017,0.1489,历史+在三国+家的
ent0.6xrole0.3,5343,35,3,0,14,292,0.544,0.3225,0.1399,重生+世界+历史+在三国+家的+我的
ent0.6xrole0.5,4941,32,2,0,7,574,0.5518,0.3539,0.1754,重生+世界+历史+在三国+家的
ent0.6xrole0.7,4412,21,1,0,3,939,0.4624,0.3013,0.1485,历史+在三国+家的
asym2.0净role0.3,5463,35,9,13,15,257,0.5432,0.4729,0.4877,首富+庆余年+康熙+明月+铁血+完美世界+神诡世界+重生+世界+历史+在三国+家的+我的+我终+真没+无限之
asym2.0净role0.5,5033,32,5,11,7,550,0.5846,0.5086,0.4888,首富+庆余年+康熙+明月+完美世界+神诡世界+重生+世界+历史+在三国+家的+我终+真没
asym2.0净coh1,5592,36,10,13,13,60,0.5614,0.498,0.5141,首富+庆余年+康熙+明月+铁血+完美世界+神诡世界+重生+世界+历史+天道+在三国+家的+我的+我终+真没+无限之
asym2.0净coh2,5413,36,9,13,12,84,0.5796,0.5149,0.527,首富+庆余年+康熙+明月+铁血+完美世界+神诡世界+重生+世界+历史+天道+在三国+家的+我的+我终+真没+无限之
role救@0.7,5918,36,6,6,14,33,0.5668,0.4146,0.3213,首富+庆余年+康熙+完美世界+神诡世界+重生+世界+历史+天道+在三国+家的+我的+我终+真没
role救@0.9,5894,36,5,2,14,35,0.554,0.3578,0.2072,完美世界+重生+世界+历史+天道+在三国+家的+我的
spe救对照0.8,5895,36,10,10,17,31,0.5209,0.4164,0.3924,首富+庆余年+康熙+明月+铁血+重生+世界+历史+天道+在三国+家的+聊天+联盟之+我的+我终+真没
